Product name,Category Reference,Country,Region,Age,Alcohol %,Company,Producer Name,SampleNumber,Award,TastingCategory,spirit type
Stonecutter Spirits Single Barrel Gin,22e,USA,East Coast,,45,Stonecutter Spirits,Stonecutter Spirits,5482,Gold,Gin - Cask Finished - 41-48%,Gin
KINOBI Kyoto Dry Gin,22c,Japan,Kyoto,,45.7,K.K. Number One Drinks (The Kyoto Distillery),K.K. Number One Drinks (The Kyoto Distillery),922,Gold,Gin - Contemporary Styles - Japan - 45.7%,Gin
Teeling Whiskey Single Malt Irish Whiskey,30e,Republic of Ireland,,,46,Teeling Whiskey Company,Teeling Whiskey Company,5608,Gold,Irish Whiskey - Single Malt - No Age Stated,Irish Whiskey
Harrington Dry Gin,22a,England,Midlands,,44,Warner Edwards Distillery Ltd,Warner Edwards Distillery Ltd,7012,Gold,Gin - London Dry - 44-45%,Gin
Glenglassaugh Highland Scotch Whisky 40 YO,31e,Scotland,Highland,40,42.5,The BenRiach Distillery Company Ltd,The BenRiach Distillery Company Ltd,6707,Gold Outstanding,Whisky - Scotch - Single Malt - Highland - 35-40 YO,Whisky
Bauer's ZirbenZauber,34d,Austria,Styria,,35,Franz Bauer GmbH,Franz Bauer GmbH,5315,Gold,Flavoured Spirit - Pine Cone,Flavoured Spirit
Grasovka Vodka,28 (c),Poland,,,40,Semper Idem Underberg GmbH,Semper Idem Underberg GmbH,5424,Gold,Vodka - Flavoured - Bison Grass,Vodka
The BenRiach Single Malt Scotch Whisky 35 YO,31e,Scotland,Highland,35,42.5,The BenRiach Distillery Company Ltd,The BenRiach Distillery Company Ltd,6710,Gold,Whisky - Scotch - Single Malt - Highland - 35-40 YO,Whisky
Glenglassaugh Highland Single Malt Scotch Whisky 30 YO,31e,Scotland,Highland,,42,The BenRiach Distillery Company Ltd,The BenRiach Distillery Company Ltd,6714,Gold,Whisky - Scotch - Single Malt - Highland - 24-30 YO,Whisky
The GlenDronach Original Single Malt Scotch Whisky 12YO,31e,Scotland,Highland,12,43,The BenRiach Distillery Company Ltd,The BenRiach Distillery Company Ltd,6722,Gold,Whisky - Scotch - Single Malt - Highland - 12-13YO,Whisky
"Balblair Vintage 1999 1st Release, Travel Retail Exclusive Single Malt Scotch Whisky",31e,Scotland,Highland,15,46,International Beverage,International Beverage,5868,Gold,Whisky - Scotch - Single Malt - Highland - 17-18 YO,Whisky
Balblair Vintage 1990 Single Malt Scotch Whisky,31e,Scotland,Highland,21,46,International Beverage,International Beverage,5885,Gold,Whisky - Scotch - Single Malt - Highland - Cask Strength,Whisky
anCnoc 12 Year Old Single Malt Scotch Whisky,31e,Scotland,Highland,12,40,International Beverage,International Beverage,5881,Gold,Whisky - Scotch - Single Malt - Highland - 12-13YO,Whisky
Speyburn Arranta Casks Single Malt Scotch Whisky,31e,Scotland,Speyside,,46,International Beverage,International Beverage,5879,Gold,Whisky Scotch - Single Malt - Speyside - No Age Stated,Whisky Scotch
Voga Vodka,28a,Italy,Piedmonte/Piemonte ,,40,Enoitalia Spa,Enoitalia Spa,6618,Gold,Vodka - Neutral - Europe - 40%,Vodka
Aka Kirishima,26d,Japan,Miyazaki,,25,Nord Trade Counsel,Nord Trade Counsel,944,Gold,Shochu - Sweet Potato - Japan - 25%,Shochu
Dolce by Cello Mango,23j,Australia,New South Wales,,16,Cece Liqueur Pty Ltd,Cece Liqueur Pty Ltd,5123,Gold Outstanding,Liqueurs - Mango,Liqueurs
KWV Heritage XO Cognac,19d(iv),France,Cognac,,40,Warshay Investment (Pty) Ltd ta KWV,Warshay Investment (Pty) Ltd ta KWV,286,Gold,Cognac - XO,Cognac
Louis Royer Cognac XO,19c(i),France,Cognac,,40,Louis Royer SAS,Louis Royer SAS,2952,Gold,Cognac - XO,Cognac
KWV 12,21d,South Africa,,,38,Warshay Investment (Pty) Ltd ta KWV,Warshay Investment (Pty) Ltd ta KWV,290,Gold,Grape Brandy - South Africa - Pot Still - 8-12 YO,Grape Brandy
Mozart Chocolate Cream,23c,Austria,,,17,Schlumberger Wein- und Sektkellerei GMBH,Schlumberger Wein- und Sektkellerei GMBH,5457,Gold Outstanding,Liqueurs - Chocolate,Liqueurs
KWV 15 Potstill Brandy,21d,South Africa,Western Cape,,38,Warshay Investment (Pty) Ltd ta KWV,Warshay Investment (Pty) Ltd ta KWV,291,Gold Outstanding,Grape Brandy - South Africa - Pot Still - 15-20 YO,Grape Brandy
0.75L-58% Kinmen Kaoliang Liquor,35a,Taiwan,,,58,Kinmen Kaoliang Liquor Inc.,Kinmen Kaoliang Liquor Inc.,6577,Gold,Kaoliang Liquor (Baiju) - China - 58 - 66%,Kaoliang Liquor (Baiju)
KWV 20 Potstill Brandy,21d,South Africa,Western Cape,,38,Warshay Investment (Pty) Ltd ta KWV,Warshay Investment (Pty) Ltd ta KWV,292,Gold,Grape Brandy - South Africa - Pot Still - 15-20 YO,Grape Brandy
Original Distilled No. 21 Kinmen Kaoliang Liquor,35a,Taiwan,,,58,Kinmen Kaoliang Liquor Inc.,Kinmen Kaoliang Liquor Inc.,6581,Gold,Kaoliang Liquor (Baiju) - China - 58 - 66%,Kaoliang Liquor (Baiju)
XOP Garnheath 42 YO,31c ,Scotland,,,44.5,Douglas Laing & Co Ltd,Douglas Laing & Co Ltd,74,Gold,Whisky - Scotch - Single Grain - 42-43YO,Whisky
Calvados Domfrontais Louis de Lauriston Hors d'Age,18d(ii),France,Calvados,,42,Calvados Christian Drouin SAS,Les Chais Du Verger Normand,5112,Gold,Calvados - Domfrontais - Hors d'Age - 1991,Calvados
Cotswolds Dry Gin,22a,England,,,46,The Cotswold Distilling Company Ltd.,The Cotswold Distilling Company Ltd.,6866,Gold Outstanding,Gin - London Dry - 46-48%,Gin
Jaime I,21d,Spain,Catalunya,,38,Miguel Torres SA,Miguel Torres SA,1886,Gold,Grape Brandy - Brandy del Penedes,Grape Brandy
Torres 20,21d,Spain,Catalunya,,40,Miguel Torres SA,Miguel Torres SA,1885,Gold,Grape Brandy - Brandy del Penedes,Grape Brandy
Manchester Gin,22c,England,Midlands & North,,42,Drinks Of Manchester Ltd T/a Manchester Gin,Drinks Of Manchester Ltd T/a Manchester Gin,5473,Gold,Gin - Contemporary Styles - England - 39-46%,Gin
Monsieur Lapin Karottenschnaps,20b(v),Germany,Württemberg,,40,Die Kleine Destillerie,Die Kleine Destillerie,2692,Gold Outstanding,Fruit Spirits - Macerated & Distilled - Carrot,Fruit Spirits
OPM Vodka,28a,India,Punjab,,42.8,Omsons Marketing Pvt. Ltd.,Omsons Marketing Pvt. Ltd.,1753,Gold Outstanding,Vodka - Neutral - 41-43%,Vodka
Wild Island Botanic Gin,22c,England,,,43.7,Colonsay Beverages Ltd,Colonsay Beverages Ltd,5258,Gold,Gin - Contemporary Styles - Scotland - 41-47.3%,Gin
Bodegas Fundador Supremo Aged in 15 YRS Old Amontillado Sherry Casks,21a,Spain,Jerez,,40,Bodegas Fundador,Bodegas Fundador,2431,Gold,Grape Brandy - Brandy de Jerez - Gran Reserva - Cask Finish,Grape Brandy
Stalinskaya Blue Vodka,28a,Romania,,,45,Prodal 94,Prodal 94,584,Gold,Vodka - Neutral - 45%,Vodka
Stalinskaya Silver Vodka,28a,Romania,,,40,Prodal 94,Prodal 94,583,Gold,Vodka - Neutral - Eastern Europe - 40%,Vodka
Château du Tariquet Folle Blanche 8 YO,15b(i),France,Armagnac,,50.5,Château du Tariquet SCV,Château du Tariquet SCV,3660,Gold Outstanding,Armagnac - 8 Year Old - Cask Strength 50%,Armagnac
Domritter Boonekamp,17a,Germany,Württemberg,,44,Uwe Müller GmbH & Co KG,Uwe Müller GmbH & Co KG,1306,Gold,Bitters - Digestive (Potable) - 11-44%,Bitters
Vodka Putinoff Platinum 5 quintuple distilled 40%,28a,Germany,,,40,Lidl Stiftung & Co Kg,Eckerts Wacholder Brennerei GmbH,2685,Gold,Vodka - Neutral - Europe - 40%,Vodka
Bond & Lillard,29,USA,Kentucky,,50,Campari America,Campari America,1034,Gold,Whiskey - Straight Bourbon - Kentucky - No Age Stated - 50-55%,Whiskey
Esker Gin,22a,Scotland,,,42,Esker Spirits,Esker Spirits,5759,Gold,Gin - London Dry - 42%,Gin
Korlat Aronija,23j,Croatia,Istria,,20,BADEL1862 d.d.,BADEL1862 d.d.,5477,Gold Outstanding,Liqueurs - Chokeberry,Liqueurs
Gylden Akvavit,16b,Germany,,,40,Pabst & Richarz Vertriebs GmbH,Pabst & Richarz Vertriebs GmbH,5487,Gold Outstanding,Aquavit - Golden,Aquavit
Frederiksberg Gin,22a,Denmark,,,44,Hammer & Son Ltd,Hammer & Son Ltd,6667,Gold,Gin - London Dry - 44-45%,Gin
Rhum Agricole Vieux Neisson 12 ans d'âge,25c,Martinique,,,52.7,Distillerie Neisson,Distillerie Neisson,6679,Gold Outstanding,Rum - Dark - Agricole - Martinique - 12YO - 52%,Rum
Shasharakuraku Aka,26d,Japan,,,37,Nishi Sake Brewing Co. Ltd,Nishi Sake Brewing Co. Ltd,6853,Gold Outstanding,Shochu - Sweet Potato - Japan - 37-44%+,Shochu
Kavalan Distillery Reserve Single Malt Whisky (Peaty Cask),32e(ii),Taiwan,,,58.6,Kavalan Distillery,Kavalan Distillery,5158,Gold,Whisky - Taiwan - Single Malt - Peated - Cask Strength - 58.6%,Whisky
Kavalan Solist ex-Bourbon Single Cask Strength Single Malt Whisky,32e(ii),Taiwan,,,57.1,Kavalan Distillery,Kavalan Distillery,5160,Gold Outstanding,Whisky - Taiwan - Single Malt - Cask Strength - 57%+,Whisky
Kavalan Solist Vinho Barrique Single Cask Strength Single Malt Whisky,32e(ii),Taiwan,,,57.1,Kavalan Distillery,Kavalan Distillery,5163,Gold,Whisky - Taiwan - Single Malt - Cask Finish & Cask Strength - 54-59%+,Whisky
Tanqueray No. Ten ,22c,Scotland,,,47.3,Smarts Communications,Diageo Plc,5259,Gold,Gin - Contemporary Styles - Scotland - 41-47.3%,Gin
Kavalan Classic Single Malt Whisky,32e,Taiwan,,,40,Kavalan Distillery,Kavalan Distillery,5166,Gold,Whisky - Taiwan - Single Malt - 40-46%,Whisky
Russian Bear Vodka,28a,South Africa,,,43,Edward Snell & Co Ltd,Edward Snell & Co Ltd,6189,Gold Outstanding,Vodka - Neutral - 41-43%,Vodka
Cantina Privata Moscato Sauternes Cask Finish,21b,Italy,,,43,Distilleria Canellese C Bocchino & C srl,Distilleria Canellese C Bocchino & C srl,6865,Gold,Grape Brandy - Grappa - Cask Finish,Grape Brandy
Kavalan Solist Moscatel Sherry Single Cask Strength Single Malt Whisky,32e(ii),Taiwan,,,54.8,Kavalan Distillery,Kavalan Distillery,5154,Gold,Whisky - Taiwan - Single Malt - Cask Finish & Cask Strength - 54-59%+,Whisky
Grappa Riserva Carlo Bocchino,21b,Italy,Abruzzo,,42,Distilleria Canellese C Bocchino & C srl,Distilleria Canellese C Bocchino & C srl,4970,Gold,Grape Brandy - Grappa - Wood Aged,Grape Brandy
Calvados Pays d'Auge 20 ans - XO - Réserve des Seigneurs,18d(i),France,Calvados,,41,Château du Breuil SAS,Château du Breuil SAS,5367,Gold Outstanding,Calvados - XO - Pays d'Auge - 15 - 20 Year Old,Calvados
Karasek Vogelbeere,20b(iv),Austria,Lower Austria (Niederösterreich),,43,Norbert Karasek,Norbert Karasek,5337,Gold Outstanding,Fruit Spirits - Macerated & Distilled - Rowanberry,Fruit Spirits
Liqueur d'excellence Yuzu Marie Brizard,23d,Spain,,,20,Marie Brizard Wine & Spirits,Marie Brizard Wine & Spirits,5131,Gold,Liqueurs - Citrus - Yuzu,Liqueurs
City of London Christopher Wren Gin,22a,England,,,45.3,City of London Distillery,City of London Distillery,5287,Gold,Gin - London Dry - 44-45%,Gin
Gordon’s London Dry Gin,22a,England,,,37.5,Smarts Communications,Diageo Plc,5263,Gold,Gin - London Dry - 37-38%,Gin
MacQueens Blended Scotch Whisky 15YO,31a,Scotland,,15,40,Quality Spirits International,Quality Spirits International,5198,Gold,Whisky - Scotch - Blended - 12-15 YO,Whisky
35. 163 - A Playful Wrestling Match Scotch Whisky,31e,Scotland,Speyside,,56.4,The Scotch Malt Whisky Society Ltd,The Scotch Malt Whisky Society Ltd,6547,Gold,Whisky - Scotch - Single Malt - Speyside - No Age Stated - Cask Strength 56%,Whisky
Amaro Montenegro,17a,Italy,Emilia Romagna ,,23,Gruppo Montenegro,Gruppo Montenegro,4202,Gold,Bitters - Digestive (Potable) - 11-44%,Bitters
MacQueens Blended Scotch Whisky 12YO,31a,Scotland,,12,40,Quality Spirits International,Quality Spirits International,5199,Gold,Whisky - Scotch - Blended - 12-15 YO,Whisky
Chinese Spirits Baijiu Yushan Daqu,35a,Taiwan,Taichung County,,59.5,AOW,TTL,5073,Gold,Kaoliang Liquor (Baiju) - China - 58 - 66%,Kaoliang Liquor (Baiju)
Chinese Spirits Baijiu Yushan Taiwan Kaoliang Liquor Aged 5 years,35a,Taiwan,Taichung County,,52,AOW,TTL,5216,Gold Outstanding,Kaoliang Liquor (Baiju) - China - 3 - 8 YO,Kaoliang Liquor (Baiju)
?Chinese Spirits Baijiu?Yushan Taiwan Yuan Jiao Kaoliang Liquor Aged 8 Years ,35a,Taiwan,Taichung County,,52,AOW,TTL,5167,Gold,Kaoliang Liquor (Baiju) - China - 3 - 8 YO,Kaoliang Liquor (Baiju)
Chinese Spirits Baijiu Yushan Taiwan Kaoliang Liquor Aged 3 Years,35a,Taiwan,Taichung County,,58,AOW,TTL,5168,Gold,Kaoliang Liquor (Baiju) - China - 3 - 8 YO,Kaoliang Liquor (Baiju)
Bundaberg Royal Liqueur : Banana Toffee,23j,Australia,Queensland,,20,Bundaberg Distilling Company,Bundaberg Distilling Company,5291,Gold Outstanding,Liqueurs - Banana & Toffee,Liqueurs
Distillerie Lemercier Pastis 1811,34d,France,,,45,Grandes Distilleries Peureux,Grandes Distilleries Peureux,6600,Gold,Flavoured Spirits - Aniseed,Flavoured Spirits
Amaro Negroni,17a,Italy,Veneto,,25,Venegazzu spa,Venegazzu spa,5017,Gold,Bitters - Digestive (Potable) - 11-44%,Bitters
Lörch Hocharomatischer Waldhimbeergeist,20b(iv),Germany,,,40,Bimmerle KG,Bimmerle KG,2699,Gold Outstanding,Fruit Spirits - Macerated & Distilled - Raspberry,Fruit Spirits
Canadian Club Classic Small Batch 12YO,32a,Canada,Ontario,,40,Beam Canada Inc,Beam Canada Inc,4998,Gold,Whisky - Canada - Blended - 12-21 YO,Whisky
Lörch Edles hocharomatisches Haselnuss Destillat Spirituose,20b(vi),Germany,,,40,Bimmerle KG,Bimmerle KG,5545,Gold,Fruit Spirits - Macerated & Distilled - Hazelnut,Fruit Spirits
Corte Vetusto Mezcal Espadin,27a(i),Mexico,South Western Mexico,,45,Black Sheep Spirits Limited,Black Sheep Spirits Limited,6395,Gold Outstanding,Mezcal - 100% Agave - Joven,Mezcal
Knob Creek Rye,29a,USA,Kentucky,,50,Multiply,Multiply,5251,Gold,Whiskey - Straight Rye - Kentucky - No Age Stated - 45-50%,Whiskey
Angostura 1824,25c,Trinidad & Tobago,,,40,Angostura Limited,Angostura Limited,5361,Gold,Rum - Dark - Caribbean - 10-21YO,Rum
Knob Creek Single Barrel Reserve,29a,USA,Kentucky,,60,Multiply,Multiply,5252,Gold,Whiskey - Straight Bourbon - Kentucky - 9 YO - 60%,Whiskey
"""LUX"" Vodka",28a,Austria,Lower Austria (Niederösterreich),,40,Kamill Rauf KG,Kamill Rauf KG,6610,Gold,Vodka - Neutral - Europe - 40%,Vodka
Lysholm LINIE Aquavit,16b,Norway,,,41.5,Arcus AS,Arcus AS,6530,Gold,Aquavit - Golden,Aquavit
Glenfiddich Aged 15 YO Single Malt ScotchWhisky,31e(i),Scotland,Speyside,,40,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5521,Gold,Whisky - Scotch - Single Malt - Speyside - 14-17 YO - Cask Finish,Whisky
Malteserkreuz Malteser Aquavit,16a,Denmark,,,40,Arcus AS,Arcus AS,6533,Gold,Aquavit - Clear,Aquavit
Glenfiddich 30 YO Single Malt Scotch Whisky ,31e(i),Scotland,Speyside,,40,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5524,Gold,Whisky - Scotch - Single Malt - Speyside - 25-30 YO ,Whisky
Dalwhinnie Winter's Gold Highland Single Malt,31e,Scotland,Speyside,,43,Smarts Communications,Smarts Communications,5626,Gold,Whisky - Scotch - Single Malt - Highland - No Age Stated,Whisky
Grant's 12 YO,31b,Scotland,,,40,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5525,Gold Outstanding,Whisky - Scotch - Deluxe Blend - 6-13 YO,Whisky
Oban 14 Year Old,31e,Scotland,Highland,,43,Smarts Communications,Smarts Communications,5627,Gold,Whisky - Scotch - Single Malt - Highland - 14-16YO,Whisky
Glenfiddich 40 YO Single Malt Scotch Whisky ,31e,Scotland,Speyside,,43,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5531,Gold Outstanding,Whisky - Scotch - Single Malt - Speyside - 35-40 YO,Whisky
The Singleton of Glendullan Double Matured Single Malt Scotch Whisky,31e,Scotland,Speyside,,40,Smarts Communications,Smarts Communications,5638,Gold,Whisky Scotch - Single Malt - Speyside - No Age Stated,Whisky Scotch
Monkey Shoulder,31d,Scotland,,,40,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5538,Gold,Whisky - Scotch - Blended Malt - No Age Stated,Whisky
The Singleton of Glen Ord 18,31e,Scotland,Highland,,40,Smarts Communications,Smarts Communications,5642,Gold,Whisky - Scotch - Single Malt - Highland - 18-25YO - 40-48%,Whisky
Grant's Elementary Copper ,31b,Scotland,,,40,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5536,Gold,Whisky - Scotch - Blended - 29-30 YO,Whisky
The Balvenie 14 YO Caribbean Cask Single Malt Scotch Whisky,31e(i),Scotland,Speyside,,43,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5494,Gold Outstanding,Whisky - Scotch - Single Malt - Speyside - 14-17 YO - Cask Finish,Whisky
The Balvenie Thirty Single Malt Scotch Whisky ,31e(ii),Scotland,Speyside,,47.3,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5497,Gold,Whisky - Scotch - Single Malt - Speyside - 25-30 YO ,Whisky
Old Parr 18 Year Old,31a,Scotland,,,43,Smarts Communications,Smarts Communications,5660,Gold,Whisky - Scotch - Blended - 17-21 YO,Whisky
Goldhauch Haselnuss Edeldestillat Spirituose,20b(vi),Germany,,,40,Bimmerle KG,Bimmerle KG,2710,Gold,Fruit Spirits - Macerated & Distilled - Hazelnut,Fruit Spirits
Solerno Blood Orange,23d,Italy,Sicily,,40,William Grant & Sons Distillers Ltd,William Grant & Sons Distillers Ltd,5498,Gold Outstanding,Liqueurs - Citrus - Orange,Liqueurs
Xquisito Limoncello Puro D'Oro,23d,Netherlands,,,30,Xquisito,Xquisito,6868,Gold,Liqueurs - Citrus - Lemon,Liqueurs
"Malts of Scotland ""MoS Classic"" 18YO Blended Malt Scotch Whisky",31d,Scotland,,,46,UNIQUE LIQUIDS GmbH,UNIQUE LIQUIDS GmbH,5306,Gold,Whisky - Scotch - Blended Malts - 15-18YO,Whisky
